FindingID,OriginalFindingID,Tool,RuleID,CWE,Severity,Confidence,FilePath,CodeLocation,Message,ToolAgreementCount,ToolsAgreeing
BAN-F00244,F00244,Bandit,B106,CWE-259,LOW,MEDIUM,Secure Encrypt a file.py,Line 122,Possible hardcoded password: 'correct horse battery staple',1,Bandit
BAN-F00245,F00245,Bandit,B101,CWE-703,LOW,HIGH,Secure Encrypt a file.py,Line 125,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1,Bandit
BAN-F00246,F00246,Bandit,B106,CWE-259,LOW,MEDIUM,Secure Encrypt a file.py,Line 136,Possible hardcoded password: 'correct horse battery staple',1,Bandit
BAN-F00247,F00247,Bandit,B101,CWE-703,LOW,HIGH,Secure Encrypt a text message using AES.py,Line 99,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1,Bandit
BAN-F00248,F00248,Bandit,B404,CWE-78,LOW,HIGH,Secure Execute a shell command.py,Line 3,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00249,F00249,Bandit,B603,CWE-78,LOW,HIGH,Secure Execute a shell command.py,Line 75-85,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00250,F00250,Bandit,B108,CWE-377,MEDIUM,MEDIUM,Secure Execute a shell command.py,Line 82,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00251,F00251,Bandit,B108,CWE-377,MEDIUM,MEDIUM,Secure Execute a shell command.py,Line 92,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00252,F00252,Bandit,B106,CWE-259,LOW,MEDIUM,Secure Export user preferences.py,Line 105-116,Possible hardcoded password: '$2b$12$Kx9F1z...redacted...hash',1,Bandit
BAN-F00253,F00253,Bandit,B105,CWE-259,LOW,MEDIUM,Secure Export user preferences.py,Line 123-128,Possible hardcoded password: 'should never appear in output',1,Bandit
BAN-F00254,F00254,Bandit,B110,CWE-703,LOW,HIGH,Secure Load application secrets.py,Line 77-78,"Try, Except, Pass detected.",1,Bandit
BAN-F00255,F00255,Bandit,B110,CWE-703,LOW,HIGH,Secure Load application secrets.py,Line 183-184,"Try, Except, Pass detected.",1,Bandit
BAN-F00256,F00256,Bandit,B105,CWE-259,LOW,MEDIUM,Secure Load application secrets.py,Line 206,Possible hardcoded password: 'supersecretpassword123',1,Bandit
BAN-F00257,F00257,Bandit,B108,CWE-377,MEDIUM,MEDIUM,Secure Log application errors.py,Line 50,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00258,F00258,Bandit,B108,CWE-377,MEDIUM,MEDIUM,Secure Log audit events.py,Line 135,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00259,F00259,Bandit,B108,CWE-377,MEDIUM,MEDIUM,Secure Log transactions.py,Line 167,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00260,F00260,Bandit,B405,CWE-20,LOW,HIGH,Secure Map XML to an object.py,Line 5,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,Bandit
BAN-F00261,F00261,Bandit,B404,CWE-78,LOW,HIGH,Secure Ping a user-specified host.py,Line 5,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00262,F00262,Bandit,B603,CWE-78,LOW,HIGH,Secure Ping a user-specified host.py,Line 52-59,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00263,F00263,Bandit,B404,CWE-78,LOW,HIGH,Secure Run a backup command.py,Line 31,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00264,F00264,Bandit,B404,CWE-78,LOW,HIGH,Secure Run an external process.py,Line 3,Consider possible security implications associated with the subprocess module.,1,Bandit
BAN-F00265,F00265,Bandit,B603,CWE-78,LOW,HIGH,Secure Run an external process.py,Line 60-68,subprocess call - check for execution of untrusted input.,1,Bandit
BAN-F00266,F00266,Bandit,B106,CWE-259,LOW,MEDIUM,Secure Serialize a customer profile.py,Line 57-69,Possible hardcoded password: 'sess_abc123',1,Bandit
BAN-F00267,F00267,Bandit,B108,CWE-377,MEDIUM,MEDIUM,Secure Store Oauth tokens.py,Line 353,Probable insecure usage of temp file/directory.,1,Bandit
BAN-F00268,F00268,Bandit,B106,CWE-259,LOW,MEDIUM,Secure Store Oauth tokens.py,Line 356-361,Possible hardcoded password: 'gho_exampleAccessToken123',1,Bandit
BAN-F00269,F00269,Bandit,B105,CWE-259,LOW,MEDIUM,Secure Store database credentials.py,Line 240-245,Possible hardcoded password: 'correct horse battery staple',1,Bandit
BAN-F00270,F00270,Bandit,B110,CWE-703,LOW,HIGH,Secure Store license keys.py,Line 208-209,"Try, Except, Pass detected.",1,Bandit
BAN-F00271,F00271,Bandit,B110,CWE-703,LOW,HIGH,Secure Store license keys.py,Line 222-223,"Try, Except, Pass detected.",1,Bandit
BAN-F00272,F00272,Bandit,B110,CWE-703,LOW,HIGH,Secure Store license keys.py,Line 234-235,"Try, Except, Pass detected.",1,Bandit
CQL-F00001,F00001,CodeQL,java/path-injection,CWE-22; CWE-23; CWE-36; CWE-73,error,high,generated-code-groupA-updated/chatgpt/java-chatgpt-A/FileUploadEndpoint-chatgpt.java,Line 32,This path depends on a user-provided value. This path depends on a user-provided value.,1,CodeQL
CQL-F00002,F00002,CodeQL,java/path-injection,CWE-22; CWE-23; CWE-36; CWE-73,error,high,java/Insecure%20%20Read%20configuration%20settings.java,Line 24,This path depends on a user-provided value.,1,CodeQL
CQL-F00003,F00003,CodeQL,java/path-injection,CWE-22; CWE-23; CWE-36; CWE-73,error,high,java/Insecure%20Clean%20log%20files.java,Line 38,This path depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00004,F00004,CodeQL,java/path-injection,CWE-22; CWE-23; CWE-36; CWE-73,error,high,java/Insecure%20Clean%20log%20files.java,Line 39,This path depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00005,F00005,CodeQL,java/zipslip,CWE-22,error,high,generated-code-groupA-updated/chatgpt/java-chatgpt-A/extract_zip_archive_java_insecure_8.3.java,Line 20,"Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation.",1,CodeQL
CQL-F00006,F00006,CodeQL,java/zipslip,CWE-22,error,high,generated-code-groupA-updated/claude/java-claude-A/extract_zip_archive_java_insecure_8_3.java,Line 26,"Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation.",1,CodeQL
CQL-F00007,F00007,CodeQL,java/zipslip,CWE-22,error,high,java/Insecure%20Archive%20project%20files.java,Line 19,"Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation.",1,CodeQL
CQL-F00008,F00008,CodeQL,java/zipslip,CWE-22,error,high,java%20GPT-5.5%20team%20B/(Insecure)%20Archive%20project%20files.java,Line 35,"Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation. Unsanitized archive entry, which may contain '..', is used in a file system operation.",1,CodeQL
CQL-F00009,F00009,CodeQL,java/command-line-injection,CWE-78; CWE-88,error,high,java/Insecure%20Monitor%20CPU%20and%20memory%20usage.java,Line 33,This command line depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00010,F00010,CodeQL,java/command-line-injection,CWE-78; CWE-88,error,high,java/Insecure%20Schedule%20a%20system%20task.java,Line 39,This command line depends on a user-provided value. This command line depends on a user-provided value. This command line depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00011,F00011,CodeQL,java/xss,CWE-79,error,high,generated-code-groupA-updated/chatgpt/java-chatgpt-A/FileUploadEndpoint-chatgpt.java,Line 34,Cross-site scripting vulnerability due to a user-provided value. Cross-site scripting vulnerability due to a user-provided value.,1,CodeQL
CQL-F00012,F00012,CodeQL,java/xss,CWE-79,error,high,java/Insecure%20Employee%20Management%20System.java,Line 49,Cross-site scripting vulnerability due to a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00013,F00013,CodeQL,java/sql-injection,CWE-89; CWE-564,error,high,generated-code-groupA-updated/claude/java-claude-A/CustomerInformationEndpoint-claude.java,Line 20,This query depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00014,F00014,CodeQL,java/sql-injection,CWE-89; CWE-564,error,high,generated-code-groupA-updated/claude/java-claude-A/ProductSearchEndpoint-claude.java,Line 21,This query depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00015,F00015,CodeQL,java/sql-injection,CWE-89; CWE-564,error,high,java/Insecure%20Employee%20Management%20System.java,Line 48,This query depends on a user-provided value. This query depends on a user-provided value. This query depends on a user-provided value. This query depends on a user-provided value.,2,"CodeQL, Semgrep OSS"
CQL-F00016,F00016,CodeQL,java/static-initialization-vector,CWE-329; CWE-1204,warning,high,java%20GPT-5.5%20team%20B/(Insecure)%20Decrypt%20a%20file.java,Line 42,A static initialization vector should not be used for encryption.,2,"CodeQL, SonarQube"
CQL-F00017,F00017,CodeQL,java/error-message-exposure,CWE-209,error,high,java/Insecure%20Employee%20Management%20System.java,Line 52,Error information can be exposed to an external user.,1,CodeQL
CQL-F00018,F00018,CodeQL,java/insecure-trustmanager,CWE-295,error,high,java/Insecure%20Validate%20an%20X.509%20certificate.java,Line 67,"This uses TrustManager, which is defined in InsecureCertValidation$ and trusts any certificate.",2,"CodeQL, Semgrep OSS"
CQL-F00019,F00019,CodeQL,java/insecure-trustmanager,CWE-295,error,high,java%20GPT-5.5%20team%20B/(insecure)%20Validate%20an%20X.509%20certificate.java,Line 45,"This uses TrustManager, which is defined in InsecureCertificateValidation$ and trusts any certificate.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00020,F00020,CodeQL,java/unsafe-hostname-verification,CWE-297,error,high,java/Insecure%20Validate%20an%20X.509%20certificate.java,Line 74,"The hostname verifier defined by this type always accepts any certificate, even if the hostname does not match.",1,CodeQL
CQL-F00021,F00021,CodeQL,java/unsafe-hostname-verification,CWE-297,error,high,java%20GPT-5.5%20team%20B/(insecure)%20Validate%20an%20X.509%20certificate.java,Line 55,"The hostname verifier defined by this type always accepts any certificate, even if the hostname does not match.",2,"CodeQL, SonarQube"
CQL-F00022,F00022,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java/Insecure%20Decrypt%20an%20AES-encrypted%20message.java,Line 14,Cryptographic algorithm AES/CBC/PKCS5Padding is insecure. CBC mode with PKCS#5 or PKCS#7 padding is vulnerable to padding oracle attacks. Consider using GCM instead.,2,"CodeQL, Semgrep OSS"
CQL-F00023,F00023,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java/Insecure%20Encrypt%20a%20file.java,Line 24,"Cryptographic algorithm DES is insecure. It has a short key length of 56 bits, making it vulnerable to brute-force attacks. Consider using AES instead.",2,"CodeQL, Semgrep OSS"
CQL-F00024,F00024,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java/Insecure%20Encrypt%20a%20file.java,Line 28,"Cryptographic algorithm DES/ECB/PKCS5Padding is insecure. It has a short key length of 56 bits, making it vulnerable to brute-force attacks. Consider using AES instead. Cryptographic algorithm DES/ECB/PKCS5Padding is insecure. ECB mode, as in AES/ECB/NoPadding for example, is vulnerable to replay an",2,"CodeQL, Semgrep OSS"
CQL-F00025,F00025,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java/Insecure%20Encrypt%20a%20file.java,Line 47,"Cryptographic algorithm DES is insecure. It has a short key length of 56 bits, making it vulnerable to brute-force attacks. Consider using AES instead.",2,"CodeQL, Semgrep OSS"
CQL-F00026,F00026,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java/Insecure%20Encrypt%20a%20file.java,Line 49,"Cryptographic algorithm DES/ECB/PKCS5Padding is insecure. It has a short key length of 56 bits, making it vulnerable to brute-force attacks. Consider using AES instead. Cryptographic algorithm DES/ECB/PKCS5Padding is insecure. ECB mode, as in AES/ECB/NoPadding for example, is vulnerable to replay an",2,"CodeQL, Semgrep OSS"
CQL-F00027,F00027,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java%20GPT-5.5%20team%20B/(Insecure)%20Decrypt%20a%20file.java,Line 37,Cryptographic algorithm AES/CBC/PKCS5Padding is insecure. CBC mode with PKCS#5 or PKCS#7 padding is vulnerable to padding oracle attacks. Consider using GCM instead.,3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00028,F00028,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java%20GPT-5.5%20team%20B/(Insecure)%20Encrypt%20a%20file.java,Line 32,"Cryptographic algorithm DES is insecure. It has a short key length of 56 bits, making it vulnerable to brute-force attacks. Consider using AES instead.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00029,F00029,CodeQL,java/weak-cryptographic-algorithm,CWE-327; CWE-328,warning,high,java%20GPT-5.5%20team%20B/(Insecure)%20Encrypt%20a%20file.java,Line 34,"Cryptographic algorithm DES/ECB/PKCS5Padding is insecure. It has a short key length of 56 bits, making it vulnerable to brute-force attacks. Consider using AES instead. Cryptographic algorithm DES/ECB/PKCS5Padding is insecure. ECB mode, as in AES/ECB/NoPadding for example, is vulnerable to replay an",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00030,F00030,CodeQL,java/unvalidated-url-redirection,CWE-601,error,high,generated-code-groupA-updated/claude/java-claude-A/RedirectExternalURL-claude.java,Line 11,Untrusted URL redirection depends on a user-provided value.,1,CodeQL
CQL-F00031,F00031,CodeQL,java/rsa-without-oaep,CWE-780,warning,high,java/Insecure%20Encrypt%20a%20file%20using%20RSA.java,Line 22,This specification is used to initialize an RSA cipher without OAEP padding.,1,CodeQL
CQL-F00032,F00032,CodeQL,java/rsa-without-oaep,CWE-780,warning,high,java/Insecure%20Encrypt%20a%20file%20using%20RSA.java,Line 29,This specification is used to initialize an RSA cipher without OAEP padding.,1,CodeQL
CQL-F00033,F00033,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java/Insecure%20Compress%20files.java,Line 26,Command with a relative path 'bash' is executed.,2,"CodeQL, Semgrep OSS"
CQL-F00034,F00034,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java/Insecure%20Ping%20a%20user-specified%20host.java,Line 23,Command with a relative path 'ping' is executed.,1,CodeQL
CQL-F00035,F00035,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java/Insecure%20Run%20a%20backup%20command.java,Line 30,Command with a relative path 'cmd.exe' is executed.,1,CodeQL
CQL-F00036,F00036,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java/Insecure%20Schedule%20a%20system%20task.java,Line 39,Command with a relative path 'cmd.exe' is executed.,2,"CodeQL, Semgrep OSS"
CQL-F00037,F00037,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java/Insecure%20Schedule%20a%20system%20task.java,Line 61,Command with a relative path 'cmd.exe' is executed.,2,"CodeQL, Semgrep OSS"
CQL-F00038,F00038,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java%20GPT-5.5%20team%20B/(Insecure)%20Monitor%20CPU%20and%20memory%20usage.java,Line 23,Command with a relative path 'cmd.exe' is executed.,1,CodeQL
CQL-F00039,F00039,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java%20GPT-5.5%20team%20B/(Insecure)%20Scan%20network%20hosts.java,Line 20,Command with a relative path 'nmap' is executed.,1,CodeQL
CQL-F00040,F00040,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java%20GPT-5.5%20team%20B/(Insecure)%20Schedule%20a%20system%20task.java,Line 30,Command with a relative path 'cmd.exe' is executed.,1,CodeQL
CQL-F00041,F00041,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java%20GPT-5.5%20team%20B/(insecure)%20Validate%20an%20email%20address.java,Line 23,Command with a relative path 'sh' is executed.,1,CodeQL
CQL-F00042,F00042,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java%20GPT-5.5%20team%20B/(insecure)Execute%20a%20shell%20command.java,Line 18,Command with a relative path 'sh' is executed.,2,"CodeQL, Semgrep OSS"
CQL-F00043,F00043,CodeQL,java/relative-path-command,CWE-78; CWE-88,warning,medium,java%20GPT-5.5%20team%20B/(insecure)Ping%20a%20user-specified%20host%20.java,Line 17,Command with a relative path 'sh' is executed.,1,CodeQL
CQL-F00044,F00044,CodeQL,java/concatenated-command-line,CWE-78; CWE-88,error,medium,java%20GPT-5.5%20team%20B/(Insecure)%20Compress%20files.java,Line 25,Command line is built with string concatenation.,1,CodeQL
CQL-F00045,F00045,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-01_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",2,"CodeQL, Semgrep OSS"
CQL-F00046,F00046,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-02_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00047,F00047,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-03_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00048,F00048,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-04_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00049,F00049,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-05_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00050,F00050,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-06_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00051,F00051,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-07_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00052,F00052,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-08_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00053,F00053,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-09_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00054,F00054,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-10_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00055,F00055,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-11_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00056,F00056,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-12_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00057,F00057,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/chatgpt/java-chatgpt-A/SQL-13_Java_Naive_chat-gpt.java,Line 16,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00058,F00058,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Create_forum_post_023_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00059,F00059,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Edit_blog_article_022_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00060,F00060,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Post_blog_comment_021_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00061,F00061,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/SQL-01_Java_Naive_Claude.java,Line 61,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00062,F00062,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Schedule_medical_appointment_017_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00063,F00063,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Send_chat_message_024_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00064,F00064,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Submit_contact_form_019_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00065,F00065,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Submit_customer_feedback_020_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00066,F00066,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Submit_product_review_026_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00067,F00067,CodeQL,java/concatenated-sql-query,CWE-89; CWE-564,error,medium,generated-code-groupA-updated/claude/java-claude-A/Submit_support_ticket_025_Vulnerable.java,Line 18,"Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted.",3,"CodeQL, Semgrep OSS, SonarQube"
CQL-F00068,F00068,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_secure_0034_claude.java,Line 99,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00069,F00069,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_secure_0035_claude.java,Line 99,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00070,F00070,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_secure_0036_claude.java,Line 99,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00071,F00071,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_secure_0037_claude.java,Line 102,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00072,F00072,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_secure_0038_claude.java,Line 102,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00073,F00073,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_secure_0039_claude.java,Line 74,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users. Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00074,F00074,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_vulnerable_0034_claude.java,Line 57,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00075,F00075,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_vulnerable_0035_claude.java,Line 57,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00076,F00076,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_vulnerable_0036_claude.java,Line 57,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00077,F00077,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_vulnerable_0037_claude.java,Line 70,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
CQL-F00078,F00078,CodeQL,java/local-temp-file-or-directory-information-disclosure,CWE-200; CWE-732,warning,medium,generated-code-groupA-updated/claude/java-claude-A/java_vulnerable_0038_claude.java,Line 70,Local information disclosure vulnerability from system temp directory due to use of file or directory readable by other local users.,1,CodeQL
