SampleID,ModelName,Language,PromptStyle,GeneratedFile,CWE,VulnerabilityName,OWASPTop10Category,Severity,ToolsFlagging,ToolCount,CodeLocation,Message,Horusec_5thTool
CLD-P0475,Claude,Java,Insecure,CLD-Insecure Password Hashing System.java,CWE-798; CWE-259,Use of Hard-coded Credentials,A07:2021-Identification and Authentication Failures,ERROR,CodacyCLI; SonarQube,2,Line 31,"[CodacyCLI] Hardcoded passwords are a security risk. They can be easily found by attackers and used to gain unauthorized access to the system. || [SonarQube] 'password' detected in this expression, review this potentially hard-coded password.",Flagged - Same Vulnerability | Hard-coded password | CWE match: CWE-798 | Severity: CRITICAL | Line 31
CLD-P0476,Claude,Java,Insecure,CLD-Insecure Store API keys.java,CWE-798; CWE-259,Use of Hard-coded Credentials,A07:2021-Identification and Authentication Failures,ERROR,CodacyCLI; SonarQube,2,Line 19,"[CodacyCLI] Hardcoded passwords are a security risk. They can be easily found by attackers and used to gain unauthorized access to the system. || [SonarQube] 'PASSWORD' detected in this expression, review this potentially hard-coded password.",Flagged - Same Vulnerability | Potential Hard-coded credential | CWE match: CWE-798 | Severity: CRITICAL | Line 15
CLD-P0486,Claude,Python,Insecure,CLD-Insecure Manage application configuration.py,CWE-798; CWE-259,Use of Hard-coded Credentials,A07:2021-Identification and Authentication Failures,CRITICAL,CodacyCLI; Semgrep,2,Line 12,[Semgrep] Stripe API Key detected || [CodacyCLI] Stripe Secret Key detected hardcoded in source code.,Flagged - Same Vulnerability | Stripe API key; Potential Hard-coded credential | CWE match: CWE-798 | Severity: CRITICAL | Line 12
CLD-P0487,Claude,Python,Insecure,CLD-Insecure Monitor CPU and memory usage.py,CWE-79,Cross-Site Scripting (XSS),A03:2021-Injection,warning,CodacyCLI; Semgrep,2,Line 65,"[Semgrep] Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. To be sure this is sa || [CodacyCLI] User input flows into manually constructed HTML string, XSS risk.",Not Flagged
CLD-P0487,Claude,Python,Insecure,CLD-Insecure Monitor CPU and memory usage.py,CWE-79,Cross-Site Scripting (XSS),A03:2021-Injection,warning,CodacyCLI; Semgrep,2,Line 73,"[Semgrep] Detected Flask route directly returning a formatted string. This is subject to cross-site scripting if user input can reach the string. Consider using the template engine instead and rendering pages with 'render_template()'. || [CodacyCLI] Flask route directly returns formatted string, subject to XSS.",Not Flagged
CLD-P0489,Claude,Python,Insecure,CLD-Insecure Run a backup command.py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI; Semgrep,2,Line 44,"[Semgrep] Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead. || [CodacyCLI] subprocess.run called with shell=True, enables command injection.",Not Flagged
CLD-P0489,Claude,Python,Insecure,CLD-Insecure Run a backup command.py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI; Semgrep,2,Line 66,"[Semgrep] Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead. || [CodacyCLI] subprocess.run called with shell=True, enables command injection.",Not Flagged
CLD-P0495,Claude,Python,Secure,CLD-Secure Store Oauth tokens.py,CWE-532,Insertion of Sensitive Information into Log File,A09:2021-Security Logging and Monitoring Failures,warning,CodacyCLI; Semgrep,2,Line 259,[Semgrep] Detected a python logger call with a potential hardcoded secret Stored token for scope=%s access_token=%s being logged. This may lead to secret credentials being exposed. Make sure that the logger is not logging  sensitive information. || [CodacyCLI] Logger call with potential access_token being logged.,Not Flagged
CLD-P0495,Claude,Python,Secure,CLD-Secure Store Oauth tokens.py,CWE-532,Insertion of Sensitive Information into Log File,A09:2021-Security Logging and Monitoring Failures,warning,CodacyCLI; Semgrep,2,Line 299,[Semgrep] Detected a python logger call with a potential hardcoded secret Deleted token for scope=%s being logged. This may lead to secret credentials being exposed. Make sure that the logger is not logging  sensitive information. || [CodacyCLI] Logger call with potential sensitive token scope being logged.,Not Flagged
CLD-P0497,Claude,Java,Insecure,CLD-Insecure Log security events.java,CWE-319,Cleartext Transmission of Sensitive Information,A02:2021-Cryptographic Failures,warning,CodacyCLI; Semgrep,2,Line 29,"[Semgrep] Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead. || [CodacyCLI] Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket instead.",Flagged (different vulnerability in same file)
CLD-P0498,Claude,Java,Secure,CLD-Secure Encrypt a file using RSA.java,CWE-327,Use of a Broken or Risky Cryptographic Algorithm,A02:2021-Cryptographic Failures,ERROR,CodacyCLI; Semgrep,2,Line 56,"[Semgrep] Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY. || [CodacyCLI] Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking.",Flagged - Same Vulnerability | Weak block mode for Cryptographic Hash Function | CWE match: CWE-327 | Severity: HIGH | Line 56
CLD-P0500,Claude,Python,Insecure,CLD-Insecure  Validate an email address.py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI; Semgrep,2,Line 12,"[Semgrep] Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead. || [CodacyCLI] subprocess.run called with shell=True, enables command injection.",Not Flagged
GPT-P0001,ChatGPT,Java,Insecure,SQL-01_Java_Naive_ChatGPT.java,CWE-89; CWE-564,SQL Injection,A03:2021-Injection,error,CodeQL; Semgrep,2,Line 16,"[CodeQL] Query built by concatenation with this expression, which may be untrusted. Query built by concatenation with this expression, which may be untrusted. || [Semgrep] Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.",Flagged - Same Vulnerability | SQL Injection | CWE match: CWE-89 | Severity: HIGH | Line 14
GPT-P0229,ChatGPT,Python,Insecure,import_customer_records_xml-chatgpt.py,CWE-611,Improper Restriction of XML External Entity Reference (XXE),A05:2021-Security Misconfiguration,error,CodacyCLI; Semgrep,2,Line 4,"[Semgrep] The native Python `xml` library is vulnerable to XML External Entity (XXE) attacks.  These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead  the Python documentation recommends using `defusedxml`. || [CodacyCLI] The native Python xml library is vulnerable to XML External Entity (XXE) attacks. These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead the Python documentation recommends using defusedxml. || [CodacyCLI] Native xml library vulnerable to XXE attacks, use defusedxml instead.",Not Flagged
GPT-P0230,ChatGPT,Python,Secure,import_customer_records_xml_detailed-chatgpt.py,CWE-611,Improper Restriction of XML External Entity Reference (XXE),A05:2021-Security Misconfiguration,error,CodacyCLI; Semgrep,2,Line 6,"[Semgrep] The native Python `xml` library is vulnerable to XML External Entity (XXE) attacks.  These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead  the Python documentation recommends using `defusedxml`. || [CodacyCLI] The native Python xml library is vulnerable to XML External Entity (XXE) attacks. These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead the Python documentation recommends using defusedxml. || [CodacyCLI] Native xml library vulnerable to XXE attacks, use defusedxml instead.",Not Flagged
GPT-P0231,ChatGPT,Java,Insecure,ImportCustomerRecordsXML-chatgpt.java,CWE-611,Improper Restriction of XML External Entity Reference (XXE),A05:2021-Security Misconfiguration,error,CodacyCLI; Semgrep,2,Line 13,"[Semgrep] DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities decla || [CodacyCLI] DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature 'http://apache.org/xml/features/disallow-doctype-decl' to true. || [CodacyCLI] DOCTYPE declarations are enabled for this DocumentBuilderFactory. Enabling DOCTYPE declarations without proper restrictions can make your application vulnerable to XML External Entity (XXE) attacks.",Flagged - Same Vulnerability | XML parsing vulnerable to XXE With DocumentBuilder | CWE match: CWE-611 | Severity: MEDIUM | Line 12
GPT-P0232,ChatGPT,Java,Secure,ImportCustomerRecordsXMLDetailed-chatgpt.java,CWE-611,Improper Restriction of XML External Entity Reference (XXE),A05:2021-Security Misconfiguration,error,CodacyCLI; Semgrep,2,Line 29,"[Semgrep] DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities decla || [CodacyCLI] DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature 'http://apache.org/xml/features/disallow-doctype-decl' to true. || [CodacyCLI] DOCTYPE declarations are enabled for this DocumentBuilderFactory. Enabling DOCTYPE declarations without proper restrictions can make your application vulnerable to XML External Entity (XXE) attacks.",Flagged - Same Vulnerability | XML parsing vulnerable to XXE With DocumentBuilder | CWE match: CWE-611 | Severity: MEDIUM | Line 28
GPT-P0248,ChatGPT,Java,Secure,RedirectExternalURLDetailed-chatgpt.java,CWE-918,Server-Side Request Forgery (SSRF),A10:2021-Server-Side Request Forgery (SSRF),error,CodacyCLI; Semgrep,2,Line 25,"[Semgrep] User data flows into the host portion of this manually-constructed URL. This could allow an attacker to send data to their own server, potentially exposing sensitive data such as cookies or authorization information sent with this request. They could also probe internal servers or other resources th || [CodacyCLI] User data flows into the host portion of this manually-constructed URL. This could allow an attacker to send data to their own server (SSRF). Do not allow arbitrary hosts; use an allowlist.",Not Flagged
GPT-P0257,ChatGPT,Java,Insecure,GPT-(insecure)Execute a shell command.java,CWE-78; CWE-88; CWE-427,OS Command Injection,A03:2021-Injection,warning,CodeQL; SonarQube,2,Line 18,"[CodeQL] Command with a relative path 'sh' is executed. || [SonarQube] Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",Not Flagged
GPT-P0274,ChatGPT,Java,Insecure,GPT-(Insecure) Scan network hosts.java,CWE-78; CWE-88; CWE-427,OS Command Injection,A03:2021-Injection,warning,CodeQL; SonarQube,2,Line 20,"[CodeQL] Command with a relative path 'nmap' is executed. || [SonarQube] Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",Not Flagged
GPT-P0282,ChatGPT,Java,Insecure,GPT-(insecure) Validate an email address.java,CWE-78; CWE-88; CWE-427,OS Command Injection,A03:2021-Injection,warning,CodeQL; SonarQube,2,Line 23,"[CodeQL] Command with a relative path 'sh' is executed. || [SonarQube] Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",Flagged - Same Vulnerability | Execute OS Command | CWE match: CWE-78 | Severity: MEDIUM | Line 22
GPT-P0466,ChatGPT,Java,Insecure,GPT-(Insecure) Map XML to an object.java,CWE-611,Improper Restriction of XML External Entity Reference (XXE),A05:2021-Security Misconfiguration,error,CodacyCLI; Semgrep,2,Line 34,"[Semgrep] DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities decla || [CodacyCLI] DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature 'http://apache.org/xml/features/disallow-doctype-decl' to true. || [CodacyCLI] DOCTYPE declarations are enabled for this DocumentBuilderFactory. Enabling DOCTYPE declarations without proper restrictions can make your application vulnerable to XML External Entity (XXE) attacks.",Not Flagged
GPT-P0467,ChatGPT,Java,Insecure,GPT-(Insecure) Monitor CPU and memory usage.java,CWE-78; CWE-88; CWE-427,OS Command Injection,A03:2021-Injection,warning,CodeQL; SonarQube,2,Line 23,"[CodeQL] Command with a relative path 'cmd.exe' is executed. || [SonarQube] Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",Flagged - Same Vulnerability | Execute OS Command | CWE match: CWE-78 | Severity: MEDIUM | Line 22
GPT-P0468,ChatGPT,Java,Insecure,GPT-(Insecure) Schedule a system task.java,CWE-78; CWE-88; CWE-427,OS Command Injection,A03:2021-Injection,warning,CodeQL; SonarQube,2,Line 30,"[CodeQL] Command with a relative path 'cmd.exe' is executed. || [SonarQube] Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",Flagged - Same Vulnerability | Execute OS Command | CWE match: CWE-78 | Severity: MEDIUM | Line 29
GPT-P0471,ChatGPT,Java,Insecure,GPT-(insecure) Validate an X.509 certificate.java,CWE-297,Improper Validation of Certificate with Host Mismatch,A02:2021-Cryptographic Failures,CRITICAL,CodeQL; SonarQube,2,Line 55,"[CodeQL] The hostname verifier defined by this type always accepts any certificate, even if the hostname does not match. || [SonarQube] Enable server hostname verification on this SSL/TLS connection.",Flagged (different vulnerability in same file)
GPT-P0471,ChatGPT,Java,Insecure,GPT-(insecure) Validate an X.509 certificate.java,CWE-326,Inadequate Encryption Strength,A02:2021-Cryptographic Failures,ERROR,CodacyCLI; Semgrep,2,Line 42,"[Semgrep] An insecure SSL context was detected. TLS versions 1.0, 1.1, and all SSL versions are considered weak encryption and are deprecated. Use SSLContext.getInstance(""TLSv1.2"") for the best security.",Flagged (different vulnerability in same file)
GPT-P0474,ChatGPT,Java,Insecure,GPT-(insecure)Ping a user-specified host .java,CWE-78; CWE-88; CWE-427,OS Command Injection,A03:2021-Injection,warning,CodeQL; SonarQube,2,Line 17,"[CodeQL] Command with a relative path 'sh' is executed. || [SonarQube] Make sure the ""PATH"" variable only contains fixed, unwriteable directories.",Flagged - Same Vulnerability | Execute OS Command | CWE match: CWE-78 | Severity: MEDIUM | Line 16
GPT-P0482,ChatGPT,Python,Insecure,GPT-(insecure) Employee Management System.py,CWE-215; CWE-489; CWE-1327,Insertion of Sensitive Information Into Debug Code,A04:2021-Insecure Design,BLOCKER,CodeQL; SonarQube,2,Line 40,[CodeQL] A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger. || [SonarQube] Avoid binding the application to all network interfaces.,Not Flagged
GPT-P0483,ChatGPT,Python,Insecure,GPT-(insecure) Encrypt a file.py,CWE-327,Use of a Broken or Risky Cryptographic Algorithm,A02:2021-Cryptographic Failures,CRITICAL,CodacyCLI; SonarQube,2,Line 16,"[CodacyCLI] DES cipher algorithm is insecure, use AES instead. || [SonarQube] Use secure mode and padding scheme. || [SonarQube] Use a strong cipher algorithm.",Not Flagged
GPT-P0489,ChatGPT,Python,Insecure,GPT-(insecure) Run a backup command.py,CWE-377,Insecure Temporary File,A01:2021-Broken Access Control,CRITICAL,CodeQL; SonarQube,2,Line 20,[CodeQL] Call to deprecated function tempfile.mktemp may be insecure. || [SonarQube] 'tempfile.mktemp' is insecure. Use 'tempfile.TemporaryFile' instead,Not Flagged
GPT-P0489,ChatGPT,Python,Insecure,GPT-(insecure) Run a backup command.py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI; Semgrep,2,Line 26,"[Semgrep] Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead. || [CodacyCLI] subprocess.run called with shell=True, enables command injection.",Not Flagged
GPT-P0497,ChatGPT,Java,Insecure,GPT-(Insecure) Log security events.java,CWE-319,Cleartext Transmission of Sensitive Information,A02:2021-Cryptographic Failures,warning,CodacyCLI; Semgrep,2,Line 23,"[Semgrep] Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket created by 'SSLSocketFactory' or 'SSLServerSocketFactory' instead. || [CodacyCLI] Detected use of a Java socket that is not encrypted. As a result, the traffic could be read by an attacker intercepting the network traffic. Use an SSLSocket instead.",Flagged (different vulnerability in same file)
GPT-P0498,ChatGPT,Java,Secure,GPT-(secure) Encrypt a file using RSA.java,CWE-327,Use of a Broken or Risky Cryptographic Algorithm,A02:2021-Cryptographic Failures,ERROR,CodacyCLI; Semgrep,2,Line 67,"[Semgrep] Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY. || [CodacyCLI] Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking.",Flagged - Same Vulnerability | Weak block mode for Cryptographic Hash Function | CWE match: CWE-327 | Severity: HIGH | Line 55
GPT-P0499,ChatGPT,Python,Insecure,GPT-(insecure) Execute a shell command .py,CWE-78,OS Command Injection,A03:2021-Injection,BLOCKER,CodacyCLI; Semgrep,2,Line 12,"[Semgrep] Found 'subprocess' function 'run' with 'shell=True'. This is dangerous because this call will spawn the command using a shell process. Doing so propagates current shell settings and variables, which makes it much easier for a malicious actor to execute commands. Use 'shell=False' instead. || [CodacyCLI] subprocess.run called with shell=True, enables command injection.",Not Flagged
